==================================================================
Cuckoo_Search
All Requests: 9897, Average: 19.83366733466934
All Hops: 3790, Average: 7.595190380761523
All Fails: 1554, Average: 3.1142284569138274
All Storage Used: 2238287, Average: 4485.545090180361
All Processing Used: 46727, Average: 93.64128256513025
All Transmission Used: 17085, Average: 34.23847695390781
Total Cost: 2302099, Average: 4613.424849699399
==================================================================



==================================================================
Random
All Requests: 9897, Average: 19.83366733466934
All Hops: 9570, Average: 19.178356713426854
All Fails: 1586, Average: 3.1783567134268536
All Storage Used: 2685749, Average: 5382.2625250501005
All Processing Used: 68569, Average: 137.4128256513026
All Transmission Used: 39651, Average: 79.46092184368737
Total Cost: 2793969, Average: 5599.13627254509
==================================================================



==================================================================
Greedy
All Requests: 9897, Average: 19.83366733466934
All Hops: 4225, Average: 8.46693386773547
All Fails: 1563, Average: 3.132264529058116
All Storage Used: 2273055, Average: 4555.220440881763
All Processing Used: 48359, Average: 96.91182364729458
All Transmission Used: 18733, Average: 37.54108216432866
Total Cost: 2340147, Average: 4689.6733466933865
==================================================================



==================================================================
Original_Only
All Requests: 9897, Average: 19.83366733466934
All Hops: 26730, Average: 53.567134268537075
All Fails: 1817, Average: 3.6412825651302607
All Storage Used: 151132, Average: 302.8697394789579
All Processing Used: 116485, Average: 233.43687374749499
All Transmission Used: 90129, Average: 180.6192384769539
Total Cost: 357746, Average: 716.9258517034068
==================================================================



